Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF,24,NYK,9,2,20.4,2.3,4.8,.488,0.0,0.3,.000,2.3,4.4,.525,.488,0.6,1.4,.385,2.4,1.8,4.2,0.6,0.4,1.3,0.4,2.2,5.2
2,Bam Adebayo,C,26,MIA,5,5,38.4,9.6,19.4,.495,0.4,2.0,.200,9.2,17.4,.529,.505,3.0,4.2,.714,2.2,7.2,9.4,3.8,0.4,0.0,1.6,3.0,22.6
3,Nickeil Alexander-Walker,SG,25,MIN,16,1,23.6,2.6,7.0,.366,1.5,5.1,.296,1.1,1.9,.548,.473,0.6,0.6,1.000,0.3,1.4,1.8,2.3,0.6,0.4,0.9,1.5,7.3
4,Grayson Allen,SG,28,PHO,2,2,21.5,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,.300,2.0,2.0,1.000,1.0,3.0,4.0,1.0,0.5,0.0,1.5,2.0,3.5
5,Jarrett Allen,C,25,CLE,4,4,31.8,6.3,9.3,.676,0.0,0.0,,6.3,9.3,.676,.676,4.5,6.5,.692,3.8,10.0,13.8,1.3,1.3,1.0,1.3,2.0,17.0
6,Jose Alvarado,PG,25,NOP,4,0,15.5,0.8,5.0,.150,0.3,3.5,.071,0.5,1.5,.333,.175,0.0,0.0,,0.0,1.0,1.0,2.3,1.3,0.3,1.0,0.8,1.8
7,Kyle Anderson,PF,30,MIN,15,1,15.4,1.7,3.8,.456,0.1,0.5,.250,1.6,3.3,.490,.474,0.7,0.8,.833,1.2,1.5,2.7,2.5,0.7,0.3,0.7,1.7,4.3
8,Thanasis Antetokounmpo,PF,31,MIL,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0
9,Cole Anthony,PG,23,ORL,7,0,14.7,1.9,5.9,.317,0.3,1.9,.154,1.6,4.0,.393,.341,1.1,1.3,.889,0.3,1.9,2.1,1.3,0.6,0.1,0.7,2.3,5.1
10,OG Anunoby,SF,26,NYK,9,9,36.0,6.2,12.3,.505,1.8,4.3,.410,4.4,8.0,.556,.577,0.9,1.4,.615,0.8,5.2,6.0,1.1,0.9,1.0,1.1,1.7,15.1
11,Paolo Banchero,PF,21,ORL,7,7,37.4,9.7,21.3,.456,2.3,5.7,.400,7.4,15.6,.477,.510,5.3,7.0,.755,2.0,6.6,8.6,4.0,1.1,0.6,4.6,2.0,27.0
12,Nicolas Batum,PF,35,PHI,6,0,28.3,2.0,4.8,.414,1.5,3.7,.409,0.5,1.2,.429,.569,0.8,1.3,.625,1.5,4.3,5.8,1.3,0.2,0.8,0.8,2.2,6.3
13,Bradley Beal,SG,30,PHO,4,4,38.5,6.5,14.8,.441,2.5,5.8,.435,4.0,9.0,.444,.525,1.0,1.3,.800,1.5,1.3,2.8,4.5,0.8,0.3,3.3,3.8,16.5
14,Malik Beasley,SG,27,MIL,6,2,21.8,3.5,6.8,.512,1.8,4.2,.440,1.7,2.7,.625,.646,0.0,0.0,,0.2,2.3,2.5,0.7,0.7,0.0,0.5,1.5,8.8
15,MarJon Beauchamp,SF,23,MIL,4,0,2.5,0.3,1.0,.250,0.0,0.5,.000,0.3,0.5,.500,.250,0.3,0.5,.500,0.0,0.3,0.3,0.5,0.0,0.0,0.3,0.3,0.8
16,Patrick Beverley,PG,35,MIL,6,6,35.0,2.7,6.5,.410,0.7,1.8,.364,2.0,4.7,.429,.462,2.2,2.5,.867,0.7,2.7,3.3,5.5,1.0,0.7,1.0,2.7,8.2
17,Goga Bitadze,C,24,ORL,2,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.5,1.0,1.5,1.0,0.0,0.0,0.5,0.0,0.0
18,Anthony Black,PG,20,ORL,2,0,5.5,1.5,3.5,.429,0.0,1.0,.000,1.5,2.5,.600,.429,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,3.0
19,Bojan Bogdanović,SF,34,NYK,4,0,12.8,1.8,6.0,.292,1.5,3.8,.400,0.3,2.3,.111,.417,1.0,1.8,.571,0.3,2.8,3.0,1.0,0.0,0.3,0.3,0.8,6.0
20,Bol Bol,PF,24,PHO,3,0,4.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.0,1.3,1.3,0.0,0.3,0.0,0.0,0.7,0.7
